province_id,province_name,city_id,city_name,MVGeoID
14,湖南省,139,湖南省,1156430000
14,湖南省,140,长沙市,1156430100
14,湖南省,141,株洲市,1156430200
14,湖南省,142,湘潭市,1156430300
14,湖南省,143,衡阳市,1156430400
14,湖南省,144,邵阳市,1156430500
14,湖南省,145,岳阳市,1156430600
14,湖南省,146,常德市,1156430700
14,湖南省,147,张家界市,1156430800
14,湖南省,148,益阳市,1156430900
14,湖南省,149,郴州市,1156431000
14,湖南省,150,永州市,1156431100
14,湖南省,151,怀化市,1156431200
14,湖南省,152,娄底市,1156431300
14,湖南省,153,湘西土家族苗族自治州,1156433100
15,四川省,154,四川省,1156510000
15,四川省,155,成都市,1156510100
15,四川省,156,自贡市,1156510300
15,四川省,157,攀枝花市,1156510400
15,四川省,158,泸州市,1156510500
15,四川省,159,德阳市,1156510600
15,四川省,160,绵阳市,1156510700
15,四川省,161,广元市,1156510800
15,四川省,162,遂宁市,1156510900
15,四川省,163,内江市,1156511000
15,四川省,164,乐山市,1156511100
15,四川省,165,南充市,1156511300
15,四川省,166,眉山市,1156511400
15,四川省,167,宜宾市,1156511500
15,四川省,168,广安市,1156511600
15,四川省,169,达州市,1156511700
15,四川省,170,雅安市,1156511800
15,四川省,171,巴中市,1156511900
15,四川省,172,资阳市,1156512000
15,四川省,173,阿坝藏族羌族自治州,1156513200
15,四川省,174,甘孜藏族自治州,1156513300
15,四川省,175,凉山彝族自治州,1156513400
16,贵州省,176,贵州省,1156520000
16,贵州省,177,贵阳市,1156520100
16,贵州省,178,六盘水市,1156520200
16,贵州省,179,遵义市,1156520300
16,贵州省,180,安顺市,1156520400
16,贵州省,181,铜仁地区,1156522200
16,贵州省,182,黔西南布依族苗族自治州,1156522300
16,贵州省,183,毕节地区,1156522400
16,贵州省,184,黔东南苗族侗族自治州,1156522600
16,贵州省,185,黔南布依族苗族自治州,1156522700
17,云南省,186,云南省,1156530000
17,云南省,187,昆明市,1156530100
17,云南省,188,曲靖市,1156530300
17,云南省,189,玉溪市,1156530400
17,云南省,190,保山市,1156530500
17,云南省,191,昭通市,1156530600
17,云南省,192,丽江市,1156530700
17,云南省,193,普洱市,1156530800
17,云南省,194,临沧市,1156530900
17,云南省,195,楚雄彝族自治州,1156532300
17,云南省,196,红河哈尼族彝族自治州,1156532500
17,云南省,197,文山壮族苗族自治州,1156532600
17,云南省,198,西双版纳傣族自治州,1156532800
17,云南省,199,大理白族自治州,1156532900
17,云南省,200,德宏傣族景颇族自治州,1156533100
17,云南省,201,怒江傈僳族自治州,1156533300
17,云南省,202,迪庆藏族自治州,1156533400
18,福建省,203,福建省,1156350000
18,福建省,204,福州市,1156350100
18,福建省,205,厦门市,1156350200
18,福建省,206,莆田市,1156350300
18,福建省,207,三明市,1156350400
18,福建省,208,泉州市,1156350500
18,福建省,209,漳州市,1156350600
18,福建省,210,南平市,1156350700
18,福建省,211,龙岩市,1156350800
18,福建省,212,宁德市,1156350900
19,江西省,213,江西省,1156360000
19,江西省,214,南昌市,1156360100
19,江西省,215,景德镇市,1156360200
19,江西省,216,萍乡市,1156360300
19,江西省,217,九江市,1156360400
19,江西省,218,新余市,1156360500
19,江西省,219,鹰潭市,1156360600
19,江西省,220,赣州市,1156360700
19,江西省,221,吉安市,1156360800
19,江西省,222,宜春市,1156360900
19,江西省,223,抚州市,1156361000
19,江西省,224,上饶市,1156361100
20,山东省,225,山东省,1156370000
20,山东省,226,济南市,1156370100
20,山东省,227,青岛市,1156370200
20,山东省,228,淄博市,1156370300
20,山东省,229,枣庄市,1156370400
20,山东省,230,东营市,1156370500
20,山东省,231,烟台市,1156370600
20,山东省,232,潍坊市,1156370700
20,山东省,233,济宁市,1156370800
20,山东省,234,泰安市,1156370900
20,山东省,235,威海市,1156371000
20,山东省,236,日照市,1156371100
20,山东省,237,莱芜市,1156371200
20,山东省,238,临沂市,1156371300
20,山东省,239,德州市,1156371400
20,山东省,240,聊城市,1156371500
20,山东省,241,滨州市,1156371600
20,山东省,242,菏泽市,1156371700
21,河南省,243,河南省,1156410000
21,河南省,244,郑州市,1156410100
21,河南省,245,开封市,1156410200
21,河南省,246,洛阳市,1156410300
21,河南省,247,平顶山市,1156410400
21,河南省,248,安阳市,1156410500
21,河南省,249,鹤壁市,1156410600
21,河南省,250,新乡市,1156410700
21,河南省,251,焦作市,1156410800
21,河南省,252,濮阳市,1156410900
21,河南省,253,许昌市,1156411000
21,河南省,254,漯河市,1156411100
21,河南省,255,三门峡市,1156411200
21,河南省,256,南阳市,1156411300
21,河南省,257,商丘市,1156411400
21,河南省,258,信阳市,1156411500
21,河南省,259,周口市,1156411600
21,河南省,260,驻马店市,1156411700
21,河南省,261,省直辖县级行政区划,1156419000
22,广东省,262,广东省,1156440000
22,广东省,263,广州市,1156440100
22,广东省,264,韶关市,1156440200
22,广东省,265,深圳市,1156440300
22,广东省,266,珠海市,1156440400
22,广东省,267,汕头市,1156440500
22,广东省,268,佛山市,1156440600
22,广东省,269,江门市,1156440700
22,广东省,270,湛江市,1156440800
22,广东省,271,茂名市,1156440900
22,广东省,272,肇庆市,1156441200
22,广东省,273,惠州市,1156441300
22,广东省,274,梅州市,1156441400
22,广东省,275,汕尾市,1156441500
22,广东省,276,河源市,1156441600
22,广东省,277,阳江市,1156441700
22,广东省,278,清远市,1156441800
22,广东省,279,东莞市,1156441900
22,广东省,280,中山市,1156442000
22,广东省,281,潮州市,1156445100
22,广东省,282,揭阳市,1156445200
22,广东省,283,云浮市,1156445300
23,广西壮族自治区,284,广西壮族自治区,1156450000
23,广西壮族自治区,285,南宁市,1156450100
23,广西壮族自治区,286,柳州市,1156450200
23,广西壮族自治区,287,桂林市,1156450300
23,广西壮族自治区,288,梧州市,1156450400
23,广西壮族自治区,289,北海市,1156450500
23,广西壮族自治区,290,防城港市,1156450600
23,广西壮族自治区,291,钦州市,1156450700
23,广西壮族自治区,292,贵港市,1156450800
23,广西壮族自治区,293,玉林市,1156450900
23,广西壮族自治区,294,百色市,1156451000
23,广西壮族自治区,295,贺州市,1156451100
23,广西壮族自治区,296,河池市,1156451200
23,广西壮族自治区,297,来宾市,1156451300
23,广西壮族自治区,298,崇左市,1156451400
24,海南省,299,海南省,1156460000
24,海南省,300,海口市,1156460100
24,海南省,301,三亚市,1156460200
24,海南省,302,省直辖县级行政区划,1156469000
25,重庆市,303,重庆市,1156500000
26,西藏自治区,304,西藏自治区,1156540000
26,西藏自治区,305,拉萨市,1156540100
26,西藏自治区,306,昌都地区,1156542100
26,西藏自治区,307,山南地区,1156542200
26,西藏自治区,308,日喀则地区,1156542300
26,西藏自治区,309,那曲地区,1156542400
26,西藏自治区,310,阿里地区,1156542500
26,西藏自治区,311,林芝地区,1156542600
27,陕西省,312,陕西省,1156610000
27,陕西省,313,西安市,1156610100
27,陕西省,314,铜川市,1156610200
27,陕西省,315,宝鸡市,1156610300
27,陕西省,316,咸阳市,1156610400
27,陕西省,317,渭南市,1156610500
27,陕西省,318,延安市,1156610600
27,陕西省,319,汉中市,1156610700
27,陕西省,320,榆林市,1156610800
27,陕西省,321,安康市,1156610900
27,陕西省,322,商洛市,1156611000
28,甘肃省,323,甘肃省,1156620000
28,甘肃省,324,兰州市,1156620100
28,甘肃省,325,嘉峪关市,1156620200
28,甘肃省,326,金昌市,1156620300
28,甘肃省,327,白银市,1156620400
28,甘肃省,328,天水市,1156620500
28,甘肃省,329,武威市,1156620600
28,甘肃省,330,张掖市,1156620700
28,甘肃省,331,平凉市,1156620800
28,甘肃省,332,酒泉市,1156620900
28,甘肃省,333,庆阳市,1156621000
28,甘肃省,334,定西市,1156621100
28,甘肃省,335,陇南市,1156621200
28,甘肃省,336,临夏回族自治州,1156622900
28,甘肃省,337,甘南藏族自治州,1156623000
29,青海省,338,青海省,1156630000
29,青海省,339,西宁市,1156630100
29,青海省,340,海东地区,1156632100
29,青海省,341,海北藏族自治州,1156632200
29,青海省,342,黄南藏族自治州,1156632300
29,青海省,343,海南藏族自治州,1156632500
29,青海省,344,果洛藏族自治州,1156632600
29,青海省,345,玉树藏族自治州,1156632700
29,青海省,346,海西蒙古族藏族自治州,1156632800
30,宁夏回族自治区,347,宁夏回族自治区,1156640000
30,宁夏回族自治区,348,银川市,1156640100
30,宁夏回族自治区,349,石嘴山市,1156640200
30,宁夏回族自治区,350,吴忠市,1156640300
30,宁夏回族自治区,351,固原市,1156640400
30,宁夏回族自治区,352,中卫市,1156640500
31,新疆维吾尔自治区,353,新疆维吾尔自治区,1156650000
31,新疆维吾尔自治区,354,乌鲁木齐市,1156650100
31,新疆维吾尔自治区,355,克拉玛依市,1156650200
31,新疆维吾尔自治区,356,吐鲁番地区,1156652100
31,新疆维吾尔自治区,357,哈密地区,1156652200
31,新疆维吾尔自治区,358,昌吉回族自治州,1156652300
31,新疆维吾尔自治区,359,博尔塔拉蒙古自治州,1156652700
31,新疆维吾尔自治区,360,巴音郭楞蒙古自治州,1156652800
31,新疆维吾尔自治区,361,阿克苏地区,1156652900
31,新疆维吾尔自治区,362,克孜勒苏柯尔克孜自治州,1156653000
31,新疆维吾尔自治区,363,喀什地区,1156653100
31,新疆维吾尔自治区,364,和田地区,1156653200
31,新疆维吾尔自治区,365,伊犁哈萨克自治州,1156654000
31,新疆维吾尔自治区,366,塔城地区,1156654200
31,新疆维吾尔自治区,367,阿勒泰地区,1156654300
31,新疆维吾尔自治区,368,自治区直辖县级行政区划,1156659000
32,全球 ,369,安道尔,1020000000
32,全球 ,370,阿联酋,1784000000
32,全球 ,371,阿富汗,1004000000
32,全球 ,372,安提瓜和巴布达,1028000000
32,全球 ,373,安圭拉,1660000000
32,全球 ,374,阿尔巴尼亚,1008000000
32,全球 ,375,亚美尼亚,1051000000
32,全球 ,376,安哥拉,1024000000
32,全球 ,377,南极洲,1010000000
32,全球 ,378,阿根廷,1032000000
32,全球 ,379,美属萨摩亚,1016000000
32,全球 ,380,奥地利,1040000000
32,全球 ,381,澳大利亚,1036000000
32,全球 ,382,阿鲁巴,1533000000
32,全球 ,383,奥兰群岛,1248000000
32,全球 ,384,阿塞拜疆,1031000000
32,全球 ,385,波黑,1070000000
32,全球 ,386,巴巴多斯,1052000000
32,全球 ,387,孟加拉,1050000000
32,全球 ,388,比利时,1056000000
32,全球 ,389,布基纳法索,1854000000
32,全球 ,390,保加利亚,1100000000
32,全球 ,391,巴林,1048000000
32,全球 ,392,布隆迪,1108000000
32,全球 ,393,贝宁,1204000000
32,全球 ,394,圣巴泰勒米岛,1652000000
32,全球 ,395,百慕大,1060000000
32,全球 ,396,文莱,1096000000
32,全球 ,397,玻利维亚,1068000000
32,全球 ,398,荷兰加勒比区,1535000000
32,全球 ,399,巴西,1076000000
32,全球 ,400,巴哈马,1044000000
32,全球 ,401,不丹,1064000000
32,全球 ,402,布韦岛,1074000000
32,全球 ,403,博茨瓦纳,1072000000
32,全球 ,404,白俄罗斯,1112000000
32,全球 ,405,伯利兹,1084000000
32,全球 ,406,加拿大,1124000000
32,全球 ,407,科科斯群岛,1166000000
32,全球 ,408,刚果（金）,1180000000
32,全球 ,409,中非,1140000000
32,全球 ,410,刚果（布）,1178000000
32,全球 ,411,瑞士,1756000000
32,全球 ,412,科特迪瓦,1384000000
32,全球 ,413,库克群岛,1184000000
32,全球 ,414,智利,1152000000
32,全球 ,415,喀麦隆,1120000000
32,全球 ,416,中国,1156000000
32,全球 ,417,哥伦比亚,1170000000
32,全球 ,418,哥斯达黎加,1188000000
32,全球 ,419,古巴,1192000000
32,全球 ,420,佛得角,1132000000
32,全球 ,421,圣诞岛,1162000000
32,全球 ,422,塞浦路斯,1196000000
32,全球 ,423,捷克,1203000000
32,全球 ,424,德国,1276000000
32,全球 ,425,吉布提,1262000000
32,全球 ,426,丹麦,1208000000
32,全球 ,427,多米尼克,1212000000
32,全球 ,428,多米尼加,1214000000
32,全球 ,429,阿尔及利亚,1012000000
32,全球 ,430,厄瓜多尔,1218000000
32,全球 ,431,爱沙尼亚,1233000000
32,全球 ,432,埃及,1818000000
32,全球 ,433,西撒哈拉,1732000000
32,全球 ,434,厄立特里亚,1232000000
32,全球 ,435,西班牙,1724000000
32,全球 ,436,埃塞俄比亚,1231000000
32,全球 ,437,芬兰,1246000000
32,全球 ,438,斐济群岛,1242000000
32,全球 ,439,马尔维纳斯群岛（福克兰）,1238000000
32,全球 ,440,密克罗尼西亚联邦,1583000000
32,全球 ,441,法罗群岛,1234000000
32,全球 ,442,法国,1250000000
32,全球 ,443,加蓬,1266000000
32,全球 ,444,英国,1826000000
32,全球 ,445,格林纳达,1308000000
32,全球 ,446,格鲁吉亚,1268000000
32,全球 ,447,法属圭亚那,1254000000
32,全球 ,448,根西岛,1831000000
32,全球 ,449,加纳,1288000000
32,全球 ,450,直布罗陀,1292000000
32,全球 ,451,格陵兰,1304000000
32,全球 ,452,冈比亚,1270000000
32,全球 ,453,几内亚,1324000000
32,全球 ,454,瓜德罗普,1312000000
32,全球 ,455,赤道几内亚,1226000000
32,全球 ,456,希腊,1300000000
32,全球 ,457,南乔治亚岛和南桑威奇群岛,1239000000
32,全球 ,458,危地马拉,1320000000
32,全球 ,459,关岛,1316000000
32,全球 ,460,几内亚比绍,1624000000
32,全球 ,461,圭亚那,1328000000
32,全球 ,462,香港,1344000000
32,全球 ,463,赫德岛和麦克唐纳群岛,1334000000
32,全球 ,464,洪都拉斯,1340000000
32,全球 ,465,克罗地亚,1191000000
32,全球 ,466,海地,1332000000
32,全球 ,467,匈牙利,1348000000
32,全球 ,468,印尼,1360000000
32,全球 ,469,爱尔兰,1372000000
32,全球 ,470,以色列,1376000000
32,全球 ,471,马恩岛,1833000000
32,全球 ,472,印度,1356000000
32,全球 ,473,英属印度洋领地,1086000000
32,全球 ,474,伊拉克,1368000000
32,全球 ,475,伊朗,1364000000
32,全球 ,476,冰岛,1352000000
32,全球 ,477,意大利,1380000000
32,全球 ,478,泽西岛,1832000000
32,全球 ,479,牙买加,1388000000
32,全球 ,480,约旦,1400000000
32,全球 ,481,日本,1392000000
32,全球 ,482,肯尼亚,1404000000
32,全球 ,483,吉尔吉斯斯坦,1417000000
32,全球 ,484,柬埔寨,1116000000
32,全球 ,485,基里巴斯,1296000000
32,全球 ,486,科摩罗,1174000000
32,全球 ,487,圣基茨和尼维斯,1659000000
32,全球 ,488,朝鲜,1408000000
32,全球 ,489,韩国,1410000000
32,全球 ,490,科威特,1414000000
32,全球 ,491,开曼群岛,1136000000
32,全球 ,492,哈萨克斯坦,1398000000
32,全球 ,493,老挝,1418000000
32,全球 ,494,黎巴嫩,1422000000
32,全球 ,495,圣卢西亚,1662000000
32,全球 ,496,列支敦士登,1438000000
32,全球 ,497,斯里兰卡,1144000000
32,全球 ,498,利比里亚,1430000000
32,全球 ,499,莱索托,1426000000
32,全球 ,500,立陶宛,1440000000
32,全球 ,501,卢森堡,1442000000
32,全球 ,502,拉脱维亚,1428000000
32,全球 ,503,利比亚,1434000000
32,全球 ,504,摩洛哥,1504000000
32,全球 ,505,摩纳哥,1492000000
32,全球 ,506,摩尔多瓦,1498000000
32,全球 ,507,黑山,1499000000
32,全球 ,508,法属圣马丁,1663000000
32,全球 ,509,马达加斯加,1450000000
32,全球 ,510,马绍尔群岛,1584000000
32,全球 ,511,马其顿,1807000000
32,全球 ,512,马里,1466000000
32,全球 ,513,缅甸,1104000000
32,全球 ,514,蒙古国；蒙古,1496000000
32,全球 ,515,澳门,1446000000
32,全球 ,516,北马里亚纳群岛,1580000000
32,全球 ,517,马提尼克,1474000000
32,全球 ,518,毛里塔尼亚,1478000000
32,全球 ,519,蒙塞拉特岛,1500000000
32,全球 ,520,马耳他,1470000000
32,全球 ,521,毛里求斯,1480000000
32,全球 ,522,马尔代夫,1462000000
32,全球 ,523,马拉维,1454000000
32,全球 ,524,墨西哥,1484000000
32,全球 ,525,马来西亚,1458000000
32,全球 ,526,莫桑比克,1508000000
32,全球 ,527,纳米比亚,1516000000
32,全球 ,528,新喀里多尼亚,1540000000
32,全球 ,529,尼日尔,1562000000
32,全球 ,530,诺福克岛,1574000000
32,全球 ,531,尼日利亚,1566000000
32,全球 ,532,尼加拉瓜,1558000000
32,全球 ,533,荷兰,1528000000
32,全球 ,534,挪威,1578000000
32,全球 ,535,尼泊尔,1524000000
32,全球 ,536,瑙鲁,1520000000
32,全球 ,537,纽埃,1570000000
32,全球 ,538,新西兰,1554000000
32,全球 ,539,阿曼,1512000000
32,全球 ,540,巴拿马,1591000000
32,全球 ,541,秘鲁,1604000000
32,全球 ,542,法属波利尼西亚,1258000000
32,全球 ,543,巴布亚新几内亚,1598000000
32,全球 ,544,菲律宾,1608000000
32,全球 ,545,巴基斯坦,1586000000
32,全球 ,546,波兰,1616000000
32,全球 ,547,圣皮埃尔和密克隆,1666000000
32,全球 ,548,皮特凯恩群岛,1612000000
32,全球 ,549,波多黎各,1630000000
32,全球 ,550,巴勒斯坦,1275000000
